"video_id","video_title","video_description","video_published_date","video_total_views","video_total_likes","playlist_id","playlist_title","channel_id","channel_title"
"bnZmxd7qQ9g","Crazy Little Thing Called Love (Queen Cover) - Dead Dogs 2016 Christmas Party","Dead Dogs 2016 Christmas Party - Live at Dundee Pub (December ‎18, ‎2016)",2017-01-24,57,2,"PLhIw1_0YGPEQOfk9pf6mdFPP_tzQwQIU2","Dead Dogs 2016 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"TfRbcYk9is4","Are You Gonna Be My Girl (Jet Cover) - Dead Dogs 2024 Milano Civil Week","Are You Gonna Be My Girl (Jet Cover)
Dead Dogs 2024 Milano Civil Week - Live at Centro Polifunzionale Auditorium (May 11, 2024)
#areyougonnabemygirl #jetcover #deaddogsband

Dead Dogs lineup features:
Corrado Speranza: drums
Filippo Gobbi: lead vocal, backing vocal, bass guitar
Cristina Gobbi & Cristina Bertoni: lead vocals, backing vocals
Livio Bariani: electric guitar

Cover design with Canva
Video & sound editing with CapCut",2024-06-13,56,0,"PLhIw1_0YGPETEU_gRO8WUAkSDnR2LoD90","Dead Dogs 2024 Milano Civil Week - Live at Centro Polifunzionale Auditorium","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"ZNPidYs-Gx0","Rag Doll (Aerosmith Cover) - Dead Dogs 2018 Halloween Party","Dead Dogs 2018 Halloween Party - Live at Dundee Pub (October ‎31, ‎2018)",2019-03-04,56,0,"PLhIw1_0YGPEQyp_iflLtD4TAXAm8_pZVk","Dead Dogs 2018 Halloween Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"7zvBvlBjfdA","Footloose (Kenny Loggins Cover) - Dead Dogs 2017 1st Country Event","Dead Dogs 1st Country Event - Live at Il Nuovo Boscaccio (June ‎16, ‎2017)",2017-07-12,56,2,"PLhIw1_0YGPERgIZrg9wvCdefjvdmmbfiH","Dead Dogs 2017 1st Country Event - Live at Il Nuovo Boscaccio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"YLk8ynchqYs","Let It Snow (Dean Martin Cover) - Dead Dogs 2016 Christmas Party","Dead Dogs 2016 Christmas Party - Live at Dundee Pub (December ‎18, ‎2016)",2017-01-24,55,1,"PLhIw1_0YGPEQOfk9pf6mdFPP_tzQwQIU2","Dead Dogs 2016 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"IW-9FfTmykQ","Don't Stop Me Now (Queen Cover) - Dead Dogs 2019 Christmas Party","Dead Dogs 2019 Christmas Party - Live at Dundee Pub (December ‎21, ‎2019)",2020-01-24,53,4,"PLhIw1_0YGPETya3CXmcudNLE0edFQ3307","Dead Dogs 2019 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"uUdFEMoerQo","Santa Claus Is Coming To Town (J.F. Coots & H. Gillespie Cover) - Dead Dogs 2016 Christmas Party","Dead Dogs 2016 Christmas Party - Live at Dundee Pub (December ‎18, ‎2016)",2017-01-24,53,2,"PLhIw1_0YGPEQOfk9pf6mdFPP_tzQwQIU2","Dead Dogs 2016 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"WKnG9910BXg","Should I Stay Or Should I Go (The Clash Cover) - Dead Dogs 2019 1st Palco Aperto Event","Should I Stay Or Should I Go (The Clash Cover)
Dead Dogs 1st Palco Aperto Event - Live at Mare Culturale Urbano (November ‎02, ‎2019)
#shouldistayorshouldigo #theclash #deaddogsband",2019-11-23,52,2,"PLhIw1_0YGPEQxp3qFIbmKmdEX7RGZU42B","Dead Dogs 2019 Palco Aperto - Live at Mare Culturale Urbano","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"f_Ww29I389E","Cocaine (Eric Clapton Cover) - Dead Dogs Cristina's 50th Birthday Party","Dead Dogs Cristina's 50th Birthday Party - Live at Rocca Brivio (September ‎28, ‎2019)",2019-11-23,52,1,"PLhIw1_0YGPERkly8jenagw3o3U4H6CtxI","Dead Dogs 2019 Cristina's 50th Birthday Party - Live at Rocca Brivio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"8TD2KAEC0tE","Sex Machine (James Brown Cover) - Dead Dogs 2018 Halloween Party","Dead Dogs 2018 Halloween Party - Live at Dundee Pub (October ‎31, ‎2018)",2019-03-04,50,0,"PLhIw1_0YGPEQyp_iflLtD4TAXAm8_pZVk","Dead Dogs 2018 Halloween Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"GGch5H0qN2E","Sweet Home Alabama (Lynyrd Skynyrd Cover) - Dead Dogs 2018 Halloween Party","Dead Dogs 2018 Halloween Party - Live at Dundee Pub (October ‎31, ‎2018)",2019-03-04,49,0,"PLhIw1_0YGPEQyp_iflLtD4TAXAm8_pZVk","Dead Dogs 2018 Halloween Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"KeI4OGETeRc","La Vita E' Bella (Movie Soundtrack Cover) - Dead Dogs 2023 Mama's 80th Birthday Party","La Vita E' Bella (La Vita E' Bella Movie Soundtrack Cover)
Dead Dogs 2023 Mama's 80th Birthday Party - Live at Bob Food and More (September 12, 2023)
#lavitaebella #nicolapiovani #deaddogsband

La Vita E' Bella  - Dead Dogs lineup features:
Corrado Speranza: drums
Filippo Gobbi: bass guitar
Cristina Bertoni: lead vocals
Livio Bariani: electric guitar
Alessandro Speranza: acoustic guitar

Video & sound editing with CapCut",2023-09-30,48,1,"PLhIw1_0YGPESQYg-TivCb5WBjsW4zQa0O","Dead Dogs 2023 Mama's 80th Birthday Party - Live at Bob Food and More","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"UvVhLo9vE5c","Highway To Hell (AC/DC Cover) - Dead Dogs Cristina's 50th Birthday Party","Highway To Hell (AC/DC Cover)
Dead Dogs Cristina's 50th Birthday Party - Live at Rocca Brivio (September ‎28, ‎2019)
#highwaytohell #acdc #deaddogsband",2019-11-23,47,1,"PLhIw1_0YGPERkly8jenagw3o3U4H6CtxI","Dead Dogs 2019 Cristina's 50th Birthday Party - Live at Rocca Brivio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"wUmAY6SDRKA","Kiss (Prince Cover) - Dead Dogs Cristina's 50th Birthday Party","Dead Dogs Cristina's 50th Birthday Party - Live at Rocca Brivio (September ‎28, ‎2019)",2019-11-23,46,2,"PLhIw1_0YGPERkly8jenagw3o3U4H6CtxI","Dead Dogs 2019 Cristina's 50th Birthday Party - Live at Rocca Brivio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"8ai_Bsy1Ok0","Kiss (Prince Cover) - Dead Dogs 2018 Halloween Party","Dead Dogs 2018 Halloween Party - Live at Dundee Pub (October ‎31, ‎2018)",2019-03-04,46,3,"PLhIw1_0YGPEQyp_iflLtD4TAXAm8_pZVk","Dead Dogs 2018 Halloween Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"5A2A97hcDLI","It Happens (Sugarland Cover) - Dead Dogs 2017 1st Country Event","Dead Dogs 1st Country Event - Live at Il Nuovo Boscaccio (June ‎16, ‎2017)",2017-07-12,46,2,"PLhIw1_0YGPERgIZrg9wvCdefjvdmmbfiH","Dead Dogs 2017 1st Country Event - Live at Il Nuovo Boscaccio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"PAOHP2jIx3U","Theme From New York, New York (Movie Soundtrack Cover) - Dead Dogs 2023 Mama's 80th Birthday Party","Theme From New York, New York (New York, New York Movie Soundtrack Cover)
Dead Dogs 2023 Mama's 80th Birthday Party - Live at Bob Food and More (September 12, 2023)
#newyorknewyork #lizaminnelli #deaddogsband

Theme From New York, New York  - Dead Dogs lineup features:
Corrado Speranza: drums
Filippo Gobbi: bass guitar
Cristina Bertoni: lead vocals
Alessandro Speranza: electric guitar

Video & sound editing with CapCut",2023-09-30,45,1,"PLhIw1_0YGPESQYg-TivCb5WBjsW4zQa0O","Dead Dogs 2023 Mama's 80th Birthday Party - Live at Bob Food and More","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"h9ZjAwCiq64","Lonely Boy (The Black Keys Cover) - Dead Dogs 2019 1st Palco Aperto Event","Dead Dogs 1st Palco Aperto Event - Live at Mare Culturale Urbano (November ‎02, ‎2019)",2019-11-23,45,2,"PLhIw1_0YGPEQxp3qFIbmKmdEX7RGZU42B","Dead Dogs 2019 Palco Aperto - Live at Mare Culturale Urbano","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"QPvkxN1_4y8","Azzurro (Adriano Celentano Cover) - Dead Dogs 2023 Mama's 80th Birthday Party","Azzurro (Adriano Celentano Cover)
Dead Dogs 2023 Mama's 80th Birthday Party - Live at Bob Food and More (September 12, 2023)
#azzurro #adrianocelentano #deaddogsband

Azzurro  - Dead Dogs lineup features:
Corrado Speranza: drums
Filippo Gobbi: bass guitar
Cristina Bertoni: backing vocals
Livio Bariani: electric guitar
Alessandro Speranza: lead vocals, acoustic guitar

Video & sound editing with CapCut",2023-09-30,44,1,"PLhIw1_0YGPESQYg-TivCb5WBjsW4zQa0O","Dead Dogs 2023 Mama's 80th Birthday Party - Live at Bob Food and More","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"WiSUKa4LSP4","You Shook Me All Night Long (AC/DC Cover) - Dead Dogs 2018 Halloween Party","You Shook Me All Night Long (AC/DC Cover)
Dead Dogs 2018 Halloween Party - Live at Dundee Pub (October ‎31, ‎2018)
#youshookmeallnightlong #acdc #deaddogsband",2019-03-04,44,5,"PLhIw1_0YGPEQyp_iflLtD4TAXAm8_pZVk","Dead Dogs 2018 Halloween Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"4qBMvOjN1es","Crazy Little Thing Called Love (Queen Cover) - Dead Dogs Camilla's Degree Party","Dead Dogs Camilla's Degree Party - Live at Rocca Brivio (September ‎23, ‎2016)",2017-02-07,43,0,"PLhIw1_0YGPEQsx48wV5tLpmYbAA5BfW53","Dead Dogs 2016 Camilla's Degree Party - Live at Rocca Brivio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"mp2PFl-7olA","You Shook Me All Night Long (AC/DC Cover) - Dead Dogs Camilla's Degree Party","You Shook Me All Night Long (AC/DC Cover)
Dead Dogs Camilla's Degree Party - Live at Rocca Brivio (September ‎23, ‎2016)
#youshookmeallnightlong #acdc #deaddogsband",2016-10-18,43,1,"PLhIw1_0YGPEQsx48wV5tLpmYbAA5BfW53","Dead Dogs 2016 Camilla's Degree Party - Live at Rocca Brivio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"wQP7iXAhM14","You Shook Me All Night Long (AC/DC Cover) - Dead Dogs Cristina's 50th Birthday Party","You Shook Me All Night Long (AC/DC Cover)
Dead Dogs Cristina's 50th Birthday Party - Live at Rocca Brivio (September ‎28, ‎2019)
#youshookmeallnightlong #acdc #deaddogsband",2019-11-23,42,1,"PLhIw1_0YGPERkly8jenagw3o3U4H6CtxI","Dead Dogs 2019 Cristina's 50th Birthday Party - Live at Rocca Brivio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"AtsZkhy7Nqs","Knock On Wood (Eddie Floyd Cover) - Dead Dogs Cristina's 50th Birthday Party","Dead Dogs Cristina's 50th Birthday Party - Live at Rocca Brivio (September ‎28, ‎2019)",2019-11-23,42,1,"PLhIw1_0YGPERkly8jenagw3o3U4H6CtxI","Dead Dogs 2019 Cristina's 50th Birthday Party - Live at Rocca Brivio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"-WEYYwkgsSQ","Eppur Mi Son Scordato Di Te (Lucio Battisti/Formula 3 Cover) - Dead Dogs 2017 Christmas Party","Dead Dogs 2017 Christmas Party - Live at Dundee Pub (December ‎17, ‎2017)",2017-12-28,42,1,"PLhIw1_0YGPEQLnaY_Nknm4RA8LLkbFkbN","Dead Dogs 2017 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"NsVQo5D94nE","Feliz Navidad (José Feliciano Cover) - Dead Dogs 2016 Christmas Party","Dead Dogs 2016 Christmas Party - Live at Dundee Pub (December ‎18, ‎2016)",2017-01-24,42,0,"PLhIw1_0YGPEQOfk9pf6mdFPP_tzQwQIU2","Dead Dogs 2016 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"ZZGKbWK-PpM","Tie Your Mother Down (Queen Cover) - Dead Dogs 2024 Milano Civil Week","Tie Your Mother Down (Queen Cover)
Dead Dogs 2024 Milano Civil Week - Live at Centro Polifunzionale Auditorium (May 11, 2024)
#tieyourmotherdown #queen #deaddogsband

Dead Dogs lineup features:
Corrado Speranza: drums
Filippo Gobbi: lead vocal, backing vocal, bass guitar
Cristina Gobbi & Cristina Bertoni: lead vocals, backing vocals
Livio Bariani: electric guitar

Cover design with Canva
Video & sound editing with CapCut",2024-06-13,41,1,"PLhIw1_0YGPETEU_gRO8WUAkSDnR2LoD90","Dead Dogs 2024 Milano Civil Week - Live at Centro Polifunzionale Auditorium","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"6pvkl7bRTJA","I Love Rock n' Roll (Joan Jett & the Blackhearts Cover) - Dead Dogs 2018 Halloween Party","Dead Dogs 2018 Halloween Party - Live at Dundee Pub (October ‎31, ‎2018)",2019-03-04,41,1,"PLhIw1_0YGPEQyp_iflLtD4TAXAm8_pZVk","Dead Dogs 2018 Halloween Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"68Cnp21SGxI","Sunshine Of Your Love (Cream Cover) - Dead Dogs 50's Party","Dead Dogs 50's Party - Live at Cascina Bruciata (June 11, 2016)",2017-02-06,41,0,"PLhIw1_0YGPER3H3lpApMLkc2d676B-lpD","Dead Dogs 2016 50's Party - Live at Cascina Bruciata","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"-gqV7wsyVOA","One Love (Bob Marley & The Wailers Cover) - Dead Dogs 2017 Christmas Party","Dead Dogs 2017 Christmas Party - Live at Dundee Pub (December ‎17, ‎2017)",2017-12-28,39,1,"PLhIw1_0YGPEQLnaY_Nknm4RA8LLkbFkbN","Dead Dogs 2017 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"EOPKMGeUm1s","I Love Rock n' Roll (Joan Jett & the Blackhearts Cover) - Dead Dogs 2017 1st Country Event","Dead Dogs 1st Country Event - Live at Il Nuovo Boscaccio (June ‎16, ‎2017)",2017-07-12,39,4,"PLhIw1_0YGPERgIZrg9wvCdefjvdmmbfiH","Dead Dogs 2017 1st Country Event - Live at Il Nuovo Boscaccio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"LEk6wpigViU","Lonely Boy (The Black Keys Cover) - Dead Dogs 2019 Christmas Party","Dead Dogs 2019 Christmas Party - Live at Dundee Pub (December ‎21, ‎2019)",2020-01-24,37,2,"PLhIw1_0YGPETya3CXmcudNLE0edFQ3307","Dead Dogs 2019 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"mBJ6MXfnalc","Should I Stay Or Should I Go (The Clash Cover) - Dead Dogs Cristina's 50th Birthday Party","Should I Stay Or Should I Go (The Clash Cover)
Dead Dogs Cristina's 50th Birthday Party - Live at Rocca Brivio (September ‎28, ‎2019)
#shouldistayorshouldigo #theclash #deaddogsband",2019-11-23,37,1,"PLhIw1_0YGPERkly8jenagw3o3U4H6CtxI","Dead Dogs 2019 Cristina's 50th Birthday Party - Live at Rocca Brivio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"eQnRBf-QE-0","Redneck Woman (Gretchen Wilson Cover) - Dead Dogs 2017 Christmas Party","Dead Dogs 2017 Christmas Party - Live at Dundee Pub (December ‎17, ‎2017)",2017-12-28,37,0,"PLhIw1_0YGPEQLnaY_Nknm4RA8LLkbFkbN","Dead Dogs 2017 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"Nl-XLKyzdcY","Are You Gonna Be My Girl (Jet Cover) - Dead Dogs 2017 Christmas Party","Dead Dogs 2017 Christmas Party - Live at Dundee Pub (December ‎17, ‎2017)",2017-12-28,36,2,"PLhIw1_0YGPEQLnaY_Nknm4RA8LLkbFkbN","Dead Dogs 2017 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"Q0GzoHK_7L0","One Way Or Another (One Direction Cover) - Dead Dogs Martina's 18th Birthday Party","Dead Dogs Martina's 18th Birthday Party - Live at Dundee Pub (December ‎2, ‎2018)",2019-05-13,34,1,"PLhIw1_0YGPESAFz3ZRQ4gZTtYIvehRb3M","Dead Dogs 2018 Martina's 18th Birthday Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"5C6jf-v18oE","Winter Wonderland (F. Bernard & R.B. Smith Cover) - Dead Dogs 2017 Christmas Party","Dead Dogs 2017 Christmas Party - Live at Dundee Pub (December ‎17, ‎2017)",2017-12-28,34,1,"PLhIw1_0YGPEQLnaY_Nknm4RA8LLkbFkbN","Dead Dogs 2017 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"fdK09OJAiDk","Crazy Little Thing Called Love (Queen Cover) - Dead Dogs Martina's 18th Birthday Party","Dead Dogs Martina's 18th Birthday Party - Live at Dundee Pub (December ‎2, ‎2018)",2019-05-13,33,1,"PLhIw1_0YGPESAFz3ZRQ4gZTtYIvehRb3M","Dead Dogs 2018 Martina's 18th Birthday Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"93Qnnjhkz_U","Should I Stay Or Should I Go (The Clash Cover) - Dead Dogs 2016 Christmas Party","Should I Stay Or Should I Go (The Clash Cover)
Dead Dogs 2016 Christmas Party - Live at Dundee Pub (December ‎18, ‎2016)
#shouldistayorshouldigo #theclash #deaddogsband",2017-01-24,33,1,"PLhIw1_0YGPEQOfk9pf6mdFPP_tzQwQIU2","Dead Dogs 2016 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"qglbEX8ijQI","Blue Christmas (Elvis Presley Cover) - Dead Dogs 2017 Christmas Party","Dead Dogs 2017 Christmas Party - Live at Dundee Pub (December ‎17, ‎2017)",2017-12-28,32,1,"PLhIw1_0YGPEQLnaY_Nknm4RA8LLkbFkbN","Dead Dogs 2017 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"GO7oSF7Z1AU","Proud Mary (Tina Turner Cover) - Dead Dogs Cristina's 50th Birthday Party","Dead Dogs Cristina's 50th Birthday Party - Live at Rocca Brivio (September ‎28, ‎2019)",2019-11-23,31,1,"PLhIw1_0YGPERkly8jenagw3o3U4H6CtxI","Dead Dogs 2019 Cristina's 50th Birthday Party - Live at Rocca Brivio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"9eDZO_2YFT8","Rome Wasn't Built In A Day (Morcheeba Cover) - Dead Dogs 2024 Milano Civil Week","Rome Wasn't Built In A Day (Morcheeba Cover)
Dead Dogs 2024 Milano Civil Week - Live at Centro Polifunzionale Auditorium (May 11, 2024)
#romewasntbuiltinaday #morcheeba #deaddogsband

Dead Dogs lineup features:
Corrado Speranza: drums
Filippo Gobbi: lead vocal, backing vocal, bass guitar
Cristina Gobbi & Cristina Bertoni: lead vocals, backing vocals
Livio Bariani: electric guitar

Cover design with Canva
Video & sound editing with CapCut",2024-06-13,30,0,"PLhIw1_0YGPETEU_gRO8WUAkSDnR2LoD90","Dead Dogs 2024 Milano Civil Week - Live at Centro Polifunzionale Auditorium","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"8lQx5fS7TtI","Should I Stay Or Should I Go (The Clash Cover) - Dead Dogs 2024 Milano Civil Week","Should I Stay Or Should I Go (The Clash Cover)
Dead Dogs 2024 Milano Civil Week - Live at Centro Polifunzionale Auditorium (May 11, 2024)
#shouldistayorshouldigo #theclash #deaddogsband

Dead Dogs lineup features:
Corrado Speranza: drums
Filippo Gobbi: lead vocal, backing vocal, bass guitar
Cristina Gobbi & Cristina Bertoni: lead vocals, backing vocals
Livio Bariani: electric guitar

Cover design with Canva
Video & sound editing with CapCut",2024-06-13,30,0,"PLhIw1_0YGPETEU_gRO8WUAkSDnR2LoD90","Dead Dogs 2024 Milano Civil Week - Live at Centro Polifunzionale Auditorium","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"fffT48nEfpA","Lonely Boy (The Black Keys Cover) - Dead Dogs Cristina's 50th Birthday Party","Dead Dogs Cristina's 50th Birthday Party - Live at Rocca Brivio (September ‎28, ‎2019)",2019-11-23,30,1,"PLhIw1_0YGPERkly8jenagw3o3U4H6CtxI","Dead Dogs 2019 Cristina's 50th Birthday Party - Live at Rocca Brivio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
